id;curso;asignatura;tema;concepto;nivel;tipo;pregunta;opciones;respuesta_correcta;extra;activa
Q000063;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _iblioteca;biblioteca|viblioteca;biblioteca;Fíjate en la ortografía de la palabra.;1
Q000064;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _erano;verano|berano;verano;Fíjate en la ortografía de la palabra.;1
Q000065;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _urro;burro|vurro;burro;Fíjate en la ortografía de la palabra.;1
Q000066;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _iaje;viaje|biaje;viaje;Fíjate en la ortografía de la palabra.;1
Q000067;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _otella;botella|votella;botella;Fíjate en la ortografía de la palabra.;1
Q000068;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _ecino;vecino|becino;vecino;Fíjate en la ortografía de la palabra.;1
Q000069;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _uscar;buscar|vuscar;buscar;Fíjate en la ortografía de la palabra.;1
Q000070;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _ivir;vivir|bivir;vivir;Fíjate en la ortografía de la palabra.;1
Q000071;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _arco;;barco;Completa con b o v.;1
Q000072;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _entana;;ventana;Completa con b o v.;1
Q000073;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _iblioteca;;biblioteca;Completa con b o v.;1
Q000074;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _erano;;verano;Completa con b o v.;1
Q000075;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _urro;;burro;Completa con b o v.;1
Q000076;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _iaje;;viaje;Completa con b o v.;1
Q000077;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _otella;;botella;Completa con b o v.;1
Q000078;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _ecino;;vecino;Completa con b o v.;1
Q000079;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _uscar;;buscar;Completa con b o v.;1
Q000080;3EP;Lengua;ortografia;b_v;1;escribir;Escribe la palabra correctamente: _ivir;;vivir;Completa con b o v.;1
Q000081;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _arco;barco|varco;barco;Fíjate en la ortografía de la palabra.;1
Q000082;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _entana;ventana|bentana;ventana;Fíjate en la ortografía de la palabra.;1
Q000083;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _iblioteca;biblioteca|viblioteca;biblioteca;Fíjate en la ortografía de la palabra.;1
Q000084;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _erano;verano|berano;verano;Fíjate en la ortografía de la palabra.;1
Q000085;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _urro;burro|vurro;burro;Fíjate en la ortografía de la palabra.;1
Q000086;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _iaje;viaje|biaje;viaje;Fíjate en la ortografía de la palabra.;1
Q000087;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _otella;botella|votella;botella;Fíjate en la ortografía de la palabra.;1
Q000088;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _ecino;vecino|becino;vecino;Fíjate en la ortografía de la palabra.;1
Q000089;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _uscar;buscar|vuscar;buscar;Fíjate en la ortografía de la palabra.;1
Q000090;3EP;Lengua;ortografia;b_v;2;test;Completa correctamente: _ivir;vivir|bivir;vivir;Fíjate en la ortografía de la palabra.;1
Q000091;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _arco;;barco;Completa con b o v.;1
Q000092;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _entana;;ventana;Completa con b o v.;1
Q000093;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _iblioteca;;biblioteca;Completa con b o v.;1
Q000094;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _erano;;verano;Completa con b o v.;1
Q000095;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _urro;;burro;Completa con b o v.;1
Q000096;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _iaje;;viaje;Completa con b o v.;1
Q000097;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _otella;;botella;Completa con b o v.;1
Q000098;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _ecino;;vecino;Completa con b o v.;1
Q000099;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _uscar;;buscar;Completa con b o v.;1
Q000100;3EP;Lengua;ortografia;b_v;2;escribir;Escribe la palabra correctamente: _ivir;;vivir;Completa con b o v.;1
Q000101;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _arco;barco|varco;barco;Fíjate en la ortografía de la palabra.;1
Q000102;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _entana;ventana|bentana;ventana;Fíjate en la ortografía de la palabra.;1
Q000103;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _iblioteca;biblioteca|viblioteca;biblioteca;Fíjate en la ortografía de la palabra.;1
Q000104;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _erano;verano|berano;verano;Fíjate en la ortografía de la palabra.;1
Q000105;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _urro;burro|vurro;burro;Fíjate en la ortografía de la palabra.;1
Q000106;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _iaje;viaje|biaje;viaje;Fíjate en la ortografía de la palabra.;1
Q000107;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _otella;botella|votella;botella;Fíjate en la ortografía de la palabra.;1
Q000108;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _ecino;vecino|becino;vecino;Fíjate en la ortografía de la palabra.;1
Q000109;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _uscar;buscar|vuscar;buscar;Fíjate en la ortografía de la palabra.;1
Q000110;3EP;Lengua;ortografia;b_v;3;test;Completa correctamente: _ivir;vivir|bivir;vivir;Fíjate en la ortografía de la palabra.;1
Q000111;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _arco;;barco;Completa con b o v.;1
Q000112;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _entana;;ventana;Completa con b o v.;1
Q000113;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _iblioteca;;biblioteca;Completa con b o v.;1
Q000114;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _erano;;verano;Completa con b o v.;1
Q000115;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _urro;;burro;Completa con b o v.;1
Q000116;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _iaje;;viaje;Completa con b o v.;1
Q000117;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _otella;;botella;Completa con b o v.;1
Q000118;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _ecino;;vecino;Completa con b o v.;1
Q000119;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _uscar;;buscar;Completa con b o v.;1
Q000120;3EP;Lengua;ortografia;b_v;3;escribir;Escribe la palabra correctamente: _ivir;;vivir;Completa con b o v.;1
Q000121;3EP;Matematicas;calculo;sumas;1;test;Calcula 11 + 3;14|15|13|24;14;Haz la operación paso a paso.;1
Q000122;3EP;Matematicas;calculo;sumas;1;test;Calcula 12 + 4;16|17|15|26;16;Haz la operación paso a paso.;1
Q000123;3EP;Matematicas;calculo;sumas;1;test;Calcula 13 + 5;18|19|17|28;18;Haz la operación paso a paso.;1
Q000124;3EP;Matematicas;calculo;sumas;1;test;Calcula 14 + 6;20|21|19|30;20;Haz la operación paso a paso.;1
Q000125;3EP;Matematicas;calculo;sumas;1;test;Calcula 15 + 7;22|23|21|32;22;Haz la operación paso a paso.;1
Q000126;3EP;Matematicas;calculo;sumas;1;test;Calcula 16 + 8;24|25|23|34;24;Haz la operación paso a paso.;1
Q000127;3EP;Matematicas;calculo;sumas;1;test;Calcula 17 + 9;26|27|25|36;26;Haz la operación paso a paso.;1
Q000128;3EP;Matematicas;calculo;sumas;1;test;Calcula 18 + 10;28|29|27|38;28;Haz la operación paso a paso.;1
Q000129;3EP;Matematicas;calculo;sumas;1;test;Calcula 19 + 11;30|31|29|40;30;Haz la operación paso a paso.;1
Q000130;3EP;Matematicas;calculo;sumas;1;test;Calcula 20 + 12;32|33|31|42;32;Haz la operación paso a paso.;1
Q000131;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 11 + 3;;14;Haz la operación paso a paso.;1
Q000132;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 12 + 4;;16;Haz la operación paso a paso.;1
Q000133;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 13 + 5;;18;Haz la operación paso a paso.;1
Q000134;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 14 + 6;;20;Haz la operación paso a paso.;1
Q000135;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 15 + 7;;22;Haz la operación paso a paso.;1
Q000136;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 16 + 8;;24;Haz la operación paso a paso.;1
Q000137;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 17 + 9;;26;Haz la operación paso a paso.;1
Q000138;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 18 + 10;;28;Haz la operación paso a paso.;1
Q000139;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 19 + 11;;30;Haz la operación paso a paso.;1
Q000140;3EP;Matematicas;calculo;sumas;1;escribir;Calcula 20 + 12;;32;Haz la operación paso a paso.;1
Q000141;3EP;Matematicas;calculo;sumas;2;test;Calcula 32 + 13;45|46|44|55;45;Haz la operación paso a paso.;1
Q000142;3EP;Matematicas;calculo;sumas;2;test;Calcula 34 + 14;48|49|47|58;48;Haz la operación paso a paso.;1
Q000143;3EP;Matematicas;calculo;sumas;2;test;Calcula 36 + 15;51|52|50|61;51;Haz la operación paso a paso.;1
Q000144;3EP;Matematicas;calculo;sumas;2;test;Calcula 38 + 16;54|55|53|64;54;Haz la operación paso a paso.;1
Q000145;3EP;Matematicas;calculo;sumas;2;test;Calcula 40 + 17;57|58|56|67;57;Haz la operación paso a paso.;1
Q000146;3EP;Matematicas;calculo;sumas;2;test;Calcula 42 + 18;60|61|59|70;60;Haz la operación paso a paso.;1
Q000147;3EP;Matematicas;calculo;sumas;2;test;Calcula 44 + 19;63|64|62|73;63;Haz la operación paso a paso.;1
Q000148;3EP;Matematicas;calculo;sumas;2;test;Calcula 46 + 20;66|67|65|76;66;Haz la operación paso a paso.;1
Q000149;3EP;Matematicas;calculo;sumas;2;test;Calcula 48 + 21;69|70|68|79;69;Haz la operación paso a paso.;1
Q000150;3EP;Matematicas;calculo;sumas;2;test;Calcula 50 + 22;72|73|71|82;72;Haz la operación paso a paso.;1
Q000151;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 32 + 13;;45;Haz la operación paso a paso.;1
Q000152;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 34 + 14;;48;Haz la operación paso a paso.;1
Q000153;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 36 + 15;;51;Haz la operación paso a paso.;1
Q000154;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 38 + 16;;54;Haz la operación paso a paso.;1
Q000155;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 40 + 17;;57;Haz la operación paso a paso.;1
Q000156;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 42 + 18;;60;Haz la operación paso a paso.;1
Q000157;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 44 + 19;;63;Haz la operación paso a paso.;1
Q000158;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 46 + 20;;66;Haz la operación paso a paso.;1
Q000159;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 48 + 21;;69;Haz la operación paso a paso.;1
Q000160;3EP;Matematicas;calculo;sumas;2;escribir;Calcula 50 + 22;;72;Haz la operación paso a paso.;1
Q000161;3EP;Matematicas;calculo;sumas;3;test;Calcula 107 + 28;135|136|134|145;135;Haz la operación paso a paso.;1
Q000162;3EP;Matematicas;calculo;sumas;3;test;Calcula 114 + 31;145|146|144|155;145;Haz la operación paso a paso.;1
Q000163;3EP;Matematicas;calculo;sumas;3;test;Calcula 121 + 34;155|156|154|165;155;Haz la operación paso a paso.;1
Q000164;3EP;Matematicas;calculo;sumas;3;test;Calcula 128 + 37;165|166|164|175;165;Haz la operación paso a paso.;1
Q000165;3EP;Matematicas;calculo;sumas;3;test;Calcula 135 + 40;175|176|174|185;175;Haz la operación paso a paso.;1
Q000166;3EP;Matematicas;calculo;sumas;3;test;Calcula 142 + 43;185|186|184|195;185;Haz la operación paso a paso.;1
Q000167;3EP;Matematicas;calculo;sumas;3;test;Calcula 149 + 46;195|196|194|205;195;Haz la operación paso a paso.;1
Q000168;3EP;Matematicas;calculo;sumas;3;test;Calcula 156 + 49;205|206|204|215;205;Haz la operación paso a paso.;1
Q000169;3EP;Matematicas;calculo;sumas;3;test;Calcula 163 + 52;215|216|214|225;215;Haz la operación paso a paso.;1
Q000170;3EP;Matematicas;calculo;sumas;3;test;Calcula 170 + 55;225|226|224|235;225;Haz la operación paso a paso.;1
Q000171;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 107 + 28;;135;Haz la operación paso a paso.;1
Q000172;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 114 + 31;;145;Haz la operación paso a paso.;1
Q000173;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 121 + 34;;155;Haz la operación paso a paso.;1
Q000174;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 128 + 37;;165;Haz la operación paso a paso.;1
Q000175;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 135 + 40;;175;Haz la operación paso a paso.;1
Q000176;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 142 + 43;;185;Haz la operación paso a paso.;1
Q000177;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 149 + 46;;195;Haz la operación paso a paso.;1
Q000178;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 156 + 49;;205;Haz la operación paso a paso.;1
Q000179;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 163 + 52;;215;Haz la operación paso a paso.;1
Q000180;3EP;Matematicas;calculo;sumas;3;escribir;Calcula 170 + 55;;225;Haz la operación paso a paso.;1
Q000181;3EP;Matematicas;calculo;restas;1;test;Calcula 11 - 3;8|9|7|18;8;Haz la operación paso a paso.;1
Q000182;3EP;Matematicas;calculo;restas;1;test;Calcula 12 - 4;8|9|7|18;8;Haz la operación paso a paso.;1
Q000183;3EP;Matematicas;calculo;restas;1;test;Calcula 13 - 5;8|9|7|18;8;Haz la operación paso a paso.;1
Q000184;3EP;Matematicas;calculo;restas;1;test;Calcula 14 - 6;8|9|7|18;8;Haz la operación paso a paso.;1
Q000185;3EP;Matematicas;calculo;restas;1;test;Calcula 15 - 7;8|9|7|18;8;Haz la operación paso a paso.;1
